question,answer
ما هي المنصة,هي بوابة رقمية تحتوى علي العديد من الخدمات الالكترونية
ما هي الاعلانات,هي احدي خدمات المنصة الرقمية وتهدف للوصول الي اكبر عدد ممكن من الشريحة المستهدفة
هل يمكن تسجيل اكثر من حساب لنفس الشخص علي المنصة,لا يمكن ذلك حيث ان الشروط والاحكام تمنع تكرار البريد الإلكتروني في أكثر من حساب
هل يمكن تسجيل حساب بدون رقم هاتف,لا يمكن تسجيل حساب بدون رقم هاتف حيث انه مطلوب لتفعيل الحساب بعد انشاءه
كيف يمكنني الاطلاع علي العمليات السابقة,يمكن الاطلاع علي بيانات العمليات السابقة بالضغط علي ايقونة عملياتي
ما هي الاخبار,هي خدمة اخبارية متميزة تقدمها المنصة
ما هي اساليب التسويق المتوفرة بالمنصة,توجد العديد من اساليب التسويق بالمنصة مثل التسويق الرقمي والتسويق عن طريق البريد الإلكتروني
كيف يمكن الاطلاع على تفاصيل الحساب,يمكن الاطلاع على تفاصيل الحساب من خلال الدخول على المنصة ثم اختيار استعراض حسابي
كم قيمة المقابل المالي للاشتراك في المنصة,الاشتراك العادي يكلف 10 ريال بينما المميز يكلف 100 ريال
هل يمكن تسجيل موردين علي المنصة,نعم يمكنك تسجيل عدد لانهائي من الموردين بالمنصة
هل يمكن الاطلاع علي تفاصيل الوثيقة قبل طباعتها,"نعم, يمكنك ذلك عن طريق الضغط علي ايقونة معاينة الطباعة"
